node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
1137 1138 6 0.9925 -5.4757 -6.0029 1.3141 -6.3046 -7.2285 0.0543 13.1216 53.5000 5 2 6  
2137 2138 9 -6.1209 -2.1586 -7.2560 -6.9815 -2.5572 -8.4092 0.0393 13.2220 53.5000 5 2 9  
2701 3255 13 0.0000 0.0000 -1.0000 0.0245 -0.0837 -1.0490 0.0340 13.2406 49.8000 5 2 13  
241 242 372 -0.2814 -0.1853 -16.1005 -0.4332 -1.0465 -16.5856 0.0104 13.3075 52.9253 3 2 372  
556 557 2 3.1885 -4.2439 -11.0470 3.5547 -4.4849 -12.4997 0.0183 13.3081 62.5000 4 2 2  
2997 2998 12 -0.0196 0.0806 -1.0558 -0.2929 1.3250 -1.8530 0.0330 13.3365 50.3000 5 2 12  
38 39 1 -1.2265 -1.0056 -26.5402 -1.0759 -1.1903 -27.4679 0.0255 13.3382 63.0000 1 2 1  
844 845 5 -2.1346 5.0639 -6.1227 -2.3915 6.1475 -7.1576 0.0634 13.3408 54.0000 5 2 5  
2417 2418 10 -3.6564 -0.1896 -5.8127 -4.3029 0.1405 -7.1380 0.0543 13.3441 53.0000 5 2 10  
18 235 370 -0.1478 -0.0210 -13.8738 -0.5756 -0.2245 -14.0338 0.0093 13.3576 54.0990 2 2 370  
2703 2704 11 -1.1942 -0.5148 -1.9019 -2.3473 -1.0077 -2.7848 0.0505 13.3995 50.8000 5 2 11  
1802 1803 8 -6.0221 5.5681 -7.4884 -6.7972 6.3630 -8.5749 0.0569 13.4845 54.0000 5 2 8  
1455 1456 7 4.0833 -4.0816 -7.9386 4.3175 -4.6065 -9.3171 0.0522 13.5517 53.0000 5 2 7  
1451 1546 742 1.7120 -1.2847 -3.1854 1.8098 -1.2701 -3.1710 0.0100 13.5766 49.7867 3 2 742  
156 168 349 -0.1752 0.3615 -4.1822 -0.2400 0.6592 -3.7858 0.0089 13.5868 53.4297 2 2 349  
