 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date: ***.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = -    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   3    -2.0000  -11910.472 0.0898   0.3612E-08  0.5555E-06 -0.3745E-03 -0.9945E-03      -1  -0.150E-04   20.00
   4    -3.0000  -12798.668 0.0893   0.2828E-08  0.4966E-06 -0.1476E-05 -0.1711E-02      -1  -0.591E-07   20.00
   5    -4.0000  -12828.866 0.0893   0.2806E-08  0.4948E-06 -0.5772E-07 -0.1575E-02      -1  -0.231E-08   20.00
   6    -5.0000  -12837.693 0.0893   0.2799E-08  0.4942E-06 -0.1282E-06 -0.1594E-02      -1  -0.514E-08   20.00
   7    -6.0000  -12919.344 0.0893   0.2740E-08  0.4894E-06 -0.1896E-07 -0.1022E-02      -1  -0.760E-09   20.00
   8    -7.0000  -12849.281 0.0893   0.2791E-08  0.4935E-06  0.7529E-07 -0.1473E-02      -1   0.302E-08   20.00
   9    -8.0000  -12862.779 0.0893   0.2781E-08  0.4927E-06 -0.2080E-07 -0.1401E-02      -1  -0.833E-09   20.00
  10    -9.0000  -12862.212 0.0893   0.2781E-08  0.4928E-06 -0.1109E-06 -0.1410E-02      -1  -0.444E-08   20.00
  11   -10.0000  -12941.331 0.0893   0.2724E-08  0.4881E-06 -0.9786E-07 -0.7108E-03      -1  -0.392E-08   20.00
  12   -11.0000  -12931.233 0.0893   0.2731E-08  0.4887E-06  0.2119E-07 -0.8510E-03      -1   0.849E-09   20.00
  13   -12.0000  -12923.810 0.0893   0.2736E-08  0.4891E-06 -0.1037E-09 -0.9091E-03      -1  -0.415E-11   20.00
  14   -13.0000  -12929.308 0.0893   0.2732E-08  0.4888E-06 -0.1616E-08 -0.8608E-03      -1  -0.647E-10   20.00
  15   -14.0000  -12922.992 0.0893   0.2737E-08  0.4891E-06  0.2442E-07 -0.9175E-03      -1   0.978E-09   20.00
  16   -15.0000  -12909.479 0.0893   0.2747E-08  0.4899E-06 -0.7136E-08 -0.1035E-02      -1  -0.286E-09   20.00
  17   -16.0000  -12926.205 0.0893   0.2735E-08  0.4890E-06 -0.1774E-07 -0.8628E-03      -1  -0.711E-09   20.00
  18   -17.0000  -12920.421 0.0893   0.2739E-08  0.4893E-06  0.7927E-08 -0.8955E-03      -1   0.318E-09   20.00
  19   -18.0000  -12918.413 0.0893   0.2740E-08  0.4894E-06 -0.3362E-07 -0.9245E-03      -1  -0.135E-08   20.00
  20   -19.0000  -12943.043 0.0893   0.2723E-08  0.4880E-06 -0.3818E-07 -0.6093E-03      -1  -0.153E-08   20.00
  21   -20.0000  -12944.375 0.0893   0.2722E-08  0.4879E-06  0.1606E-07 -0.5550E-03      -1   0.644E-09   20.00
  22   -21.0000  -12929.266 0.0893   0.2732E-08  0.4888E-06  0.2849E-07 -0.7547E-03      -1   0.114E-08   20.00
  23   -22.0000  -12921.502 0.0893   0.2738E-08  0.4892E-06  0.1052E-07 -0.6648E-03      -1   0.422E-09   20.00
  24   -23.0000  -12919.572 0.0893   0.2739E-08  0.4893E-06  0.1880E-06 -0.6265E-03      -1   0.753E-08   20.00
  25   -24.0000  -12784.667 0.0894   0.2839E-08  0.4974E-06  0.7546E-08 -0.4641E-03      -1   0.302E-09   20.00
  26   -25.0000  -12912.036 0.0893   0.2745E-08  0.4898E-06 -0.7757E-07 -0.5210E-03      -1  -0.311E-08   20.00
  27   -26.0000  -12837.715 0.0893   0.2799E-08  0.4942E-06  0.7639E-06 -0.6010E-03      -1   0.306E-07   20.00
  28   -27.0000  -12391.938 0.0896   0.3157E-08  0.5222E-06  0.8059E-07 -0.3542E-03      -1   0.323E-08   20.00
  29   -28.0000  -12778.713 0.0894   0.2843E-08  0.4978E-06 -0.7291E-06 -0.4799E-03      -1  -0.292E-07   20.00
  30   -29.0000  -12882.840 0.0893   0.2766E-08  0.4915E-06  0.3208E-06 -0.7321E-03      -1   0.129E-07   20.00
  31   -30.0000  -12557.963 0.0895   0.3017E-08  0.5115E-06  0.1835E-05 -0.4814E-03      -1   0.735E-07   20.00
  32   -31.0000  -11752.407 0.0899   0.3780E-08  0.5672E-06  0.4568E-05 -0.1814E-03      -1   0.183E-06   20.00
  33   -32.0000  -10403.637 0.0907   0.5721E-08  0.6860E-06  0.7157E-06  0.4929E-04      -1   0.287E-07   20.00
  34   -33.0000  -11406.365 0.0901   0.4184E-08  0.5943E-06 -0.2760E-05 -0.1640E-03      -1  -0.111E-06   20.00
  35   -34.0000  -11539.397 0.0900   0.4022E-08  0.5836E-06  0.1112E-04 -0.2311E-03      -1   0.446E-06   20.00
  36   -35.0000   -8640.657 0.0922   0.1171E-07  0.9387E-06  0.1955E-04  0.3138E-03      -1   0.783E-06   20.00
  37   -36.0000   -7554.747 0.0933   0.1834E-07  0.1152E-05  0.1316E-04  0.4398E-03      -1   0.527E-06   20.00
  38   -37.0000   -7074.474 0.0939   0.2342E-07  0.1286E-05  0.3876E-04  0.6453E-03      -1   0.155E-05   20.00
  39   -38.0000   -5405.639 0.0965   0.5755E-07  0.1950E-05  0.6098E-04  0.9304E-03      -1   0.244E-05   20.00
  40   -39.0000   -4686.107 0.0980   0.9396E-07  0.2433E-05  0.4350E-04  0.8112E-03      -1   0.174E-05   20.00
  41   -40.0000   -4379.333 0.0988   0.1191E-06  0.2714E-05  0.4582E-04  0.9298E-03      -1   0.184E-05   20.00
  42   -41.0000   -3946.441 0.0999   0.1545E-06  0.3112E-05  0.1210E-04  0.7222E-03      -1   0.485E-06   20.00
  43   -42.0000   -4186.447 0.0993   0.1348E-06  0.2891E-05  0.3646E-04  0.8977E-03      -1   0.146E-05   20.00
  44   -43.0000   -3599.566 0.1012   0.2331E-06  0.3686E-05  0.1139E-03  0.8447E-03      -1   0.456E-05   20.00
  45   -44.0000   -3172.827 0.1028   0.3302E-06  0.4396E-05  0.8426E-04  0.8150E-03      -1   0.338E-05   20.00
  46   -45.0000   -3038.082 0.1035   0.3964E-06  0.4738E-05 -0.1680E-04  0.6590E-03      -1  -0.673E-06   20.00
  47   -46.0000   -3270.428 0.1024   0.3080E-06  0.4234E-05  0.4079E-04  0.1080E-02      -1   0.163E-05   20.00
  48   -47.0000   -2866.542 0.1044   0.5050E-06  0.5255E-05  0.1342E-03  0.8068E-03      -1   0.538E-05   20.00
  49   -48.0000   -2680.128 0.1054   0.6230E-06  0.5817E-05  0.8991E-04  0.7499E-03      -1   0.360E-05   20.00
  50   -49.0000   -2565.033 0.1060   0.6959E-06  0.6164E-05  0.1723E-03  0.1023E-02      -1   0.690E-05   20.00
  51   -50.0000   -2267.432 0.1081   0.1121E-05  0.7573E-05  0.2445E-03  0.7309E-03      -1   0.980E-05   20.00
  52   -51.0000   -2093.892 0.1094   0.1426E-05  0.8521E-05  0.1056E-03  0.4270E-03      -1   0.423E-05   20.00
  53   -52.0000   -2098.876 0.1094   0.1417E-05  0.8494E-05  0.7571E-04  0.8479E-03      -1   0.303E-05   20.00
  54   -53.0000   -1992.050 0.1102   0.1605E-05  0.9077E-05  0.1285E-03  0.6192E-03      -1   0.515E-05   20.00
  55   -54.0000   -1934.047 0.1107   0.1798E-05  0.9522E-05  0.4635E-04  0.4800E-03      -1   0.186E-05   20.00
  56   -55.0000   -1935.438 0.1107   0.1791E-05  0.9509E-05  0.1626E-03  0.1011E-02      -1   0.651E-05   20.00
  57   -56.0000   -1782.344 0.1124   0.2540E-05  0.1102E-04  0.2719E-03  0.3764E-03      -1   0.109E-04   20.00
  58   -57.0000   -1702.949 0.1133   0.2929E-05  0.1181E-04  0.1927E-03  0.3432E-03      -1   0.772E-05   20.00
